model,biology,civics,geography,history
GPT-OSS 120B,68.2,42.6,67.4,69.0
Llama 3.1 8B,48.8,41.1,64.3,65.9
Qwen3 235B,72.1,44.2,79.1,82.2
Vistral 7B,47.3,38.0,65.9,66.7
